model name,query name,query index,result,time
BART-COL-020,ReachabilityCardinality.xml,3,error,0.38694024085998535
BART-COL-020,ReachabilityCardinality.xml,13,error,0.45394206047058105
BART-COL-020,ReachabilityCardinality.xml,14,error,0.4412200450897217
BART-COL-020,ReachabilityCardinality.xml,6,error,0.4181630611419678
BART-COL-020,ReachabilityCardinality.xml,4,error,0.45354747772216797
BART-COL-020,ReachabilityCardinality.xml,5,error,0.44936275482177734
BART-COL-020,ReachabilityCardinality.xml,2,error,0.48334503173828125
BART-COL-030,ReachabilityCardinality.xml,1,error,0.3980553150177002
BART-COL-020,ReachabilityCardinality.xml,7,error,0.4958329200744629
BART-COL-020,ReachabilityCardinality.xml,9,error,0.4702005386352539
BART-COL-020,ReachabilityCardinality.xml,8,error,0.5293221473693848
BART-COL-030,ReachabilityCardinality.xml,10,error,0.43314337730407715
BART-COL-030,ReachabilityCardinality.xml,11,error,0.4672586917877197
BART-COL-030,ReachabilityCardinality.xml,12,error,0.5173068046569824
BART-COL-030,ReachabilityCardinality.xml,13,error,0.5307919979095459
BART-COL-030,ReachabilityCardinality.xml,14,error,0.4365806579589844
BART-COL-030,ReachabilityCardinality.xml,16,error,0.4458446502685547
BART-COL-030,ReachabilityCardinality.xml,15,error,0.4930708408355713
BART-COL-030,ReachabilityCardinality.xml,3,error,0.47679781913757324
BART-COL-030,ReachabilityCardinality.xml,7,error,0.41829538345336914
BART-COL-030,ReachabilityCardinality.xml,8,error,0.4150714874267578
BART-COL-030,ReachabilityCardinality.xml,5,error,0.4907677173614502
BART-COL-030,ReachabilityCardinality.xml,6,error,0.5090770721435547
BART-COL-030,ReachabilityCardinality.xml,4,error,0.5225915908813477
BART-COL-030,ReachabilityCardinality.xml,2,error,0.548999547958374
BART-COL-030,ReachabilityCardinality.xml,9,error,0.47138071060180664
BART-COL-040,ReachabilityCardinality.xml,1,error,0.5416169166564941
BART-COL-040,ReachabilityCardinality.xml,10,error,0.49794673919677734
BART-COL-040,ReachabilityCardinality.xml,14,error,0.44759702682495117
BART-COL-040,ReachabilityCardinality.xml,12,error,0.49724268913269043
BART-COL-040,ReachabilityCardinality.xml,13,error,0.4868006706237793
BART-COL-040,ReachabilityCardinality.xml,11,error,0.5458767414093018
BART-COL-040,ReachabilityCardinality.xml,15,error,0.48940563201904297
BART-COL-040,ReachabilityCardinality.xml,2,error,0.4341108798980713
BART-COL-040,ReachabilityCardinality.xml,16,error,0.46880483627319336
BART-COL-040,ReachabilityCardinality.xml,5,error,0.41852760314941406
BART-COL-040,ReachabilityCardinality.xml,3,error,0.49117517471313477
BART-COL-040,ReachabilityCardinality.xml,4,error,0.46495556831359863
BART-COL-040,ReachabilityCardinality.xml,8,error,0.42448878288269043
BART-COL-040,ReachabilityCardinality.xml,9,error,0.4369041919708252
BART-COL-040,ReachabilityCardinality.xml,7,error,0.5073351860046387
BART-COL-040,ReachabilityCardinality.xml,6,error,0.5457546710968018
BART-COL-050,ReachabilityCardinality.xml,10,error,0.517385721206665
BART-COL-050,ReachabilityCardinality.xml,1,error,0.5411207675933838
BART-COL-050,ReachabilityCardinality.xml,12,error,0.5084517002105713
BART-COL-050,ReachabilityCardinality.xml,11,error,0.5935878753662109
BART-COL-050,ReachabilityCardinality.xml,2,error,0.45882225036621094
BART-COL-050,ReachabilityCardinality.xml,13,error,0.5770924091339111
BART-COL-050,ReachabilityCardinality.xml,15,error,0.5445070266723633
BART-COL-050,ReachabilityCardinality.xml,4,error,0.4712810516357422
BART-COL-050,ReachabilityCardinality.xml,6,error,0.44747495651245117
BART-COL-050,ReachabilityCardinality.xml,3,error,0.5334720611572266
BART-COL-050,ReachabilityCardinality.xml,9,error,0.4166593551635742
BART-COL-050,ReachabilityCardinality.xml,14,error,0.6294384002685547
BART-COL-050,ReachabilityCardinality.xml,16,error,0.6127007007598877
BART-COL-050,ReachabilityCardinality.xml,5,error,0.5479214191436768
BlocksWorld-COL-01,ReachabilityCardinality.xml,10,error,0.038277387619018555
BlocksWorld-COL-01,ReachabilityCardinality.xml,1,error,0.061252593994140625
BlocksWorld-COL-01,ReachabilityCardinality.xml,11,error,0.03027033805847168
BART-COL-060,ReachabilityCardinality.xml,10,error,0.48119425773620605
BlocksWorld-COL-01,ReachabilityCardinality.xml,12,error,0.029993534088134766
BART-COL-050,ReachabilityCardinality.xml,8,error,0.5633161067962646
BART-COL-050,ReachabilityCardinality.xml,7,error,0.5818469524383545
BlocksWorld-COL-01,ReachabilityCardinality.xml,13,error,0.055167436599731445
BART-COL-060,ReachabilityCardinality.xml,12,error,0.4572443962097168
BART-COL-060,ReachabilityCardinality.xml,13,error,0.43425416946411133
BlocksWorld-COL-01,ReachabilityCardinality.xml,15,error,0.06133913993835449
BlocksWorld-COL-01,ReachabilityCardinality.xml,14,error,0.06347298622131348
BlocksWorld-COL-01,ReachabilityCardinality.xml,16,error,0.061235666275024414
BlocksWorld-COL-01,ReachabilityCardinality.xml,2,error,0.05500364303588867
BART-COL-060,ReachabilityCardinality.xml,11,error,0.5157511234283447
BART-COL-060,ReachabilityCardinality.xml,1,error,0.5996439456939697
BlocksWorld-COL-01,ReachabilityCardinality.xml,4,error,0.054318904876708984
BlocksWorld-COL-01,ReachabilityCardinality.xml,9,error,0.04424881935119629
BlocksWorld-COL-01,ReachabilityCardinality.xml,7,error,0.050385236740112305
BlocksWorld-COL-01,ReachabilityCardinality.xml,3,error,0.06096959114074707
BlocksWorld-COL-01,ReachabilityCardinality.xml,8,error,0.04751300811767578
BlocksWorld-COL-01,ReachabilityCardinality.xml,5,error,0.054665327072143555
BlocksWorld-COL-01,ReachabilityCardinality.xml,6,error,0.054071903228759766
BART-COL-060,ReachabilityCardinality.xml,14,error,0.4903993606567383
BART-COL-060,ReachabilityCardinality.xml,15,error,0.4903106689453125
BlocksWorld-COL-02,ReachabilityCardinality.xml,14,error,0.053565263748168945
BlocksWorld-COL-02,ReachabilityCardinality.xml,12,error,0.05578899383544922
BlocksWorld-COL-02,ReachabilityCardinality.xml,13,error,0.05538487434387207
BlocksWorld-COL-02,ReachabilityCardinality.xml,15,error,0.05504107475280762
BlocksWorld-COL-02,ReachabilityCardinality.xml,10,error,0.06741452217102051
BlocksWorld-COL-02,ReachabilityCardinality.xml,1,error,0.08611083030700684
BlocksWorld-COL-02,ReachabilityCardinality.xml,11,error,0.059004783630371094
BlocksWorld-COL-02,ReachabilityCardinality.xml,2,error,0.05489063262939453
BlocksWorld-COL-02,ReachabilityCardinality.xml,16,error,0.057633161544799805
BART-COL-060,ReachabilityCardinality.xml,2,error,0.3952751159667969
BART-COL-060,ReachabilityCardinality.xml,16,error,0.46772146224975586
BART-COL-060,ReachabilityCardinality.xml,4,error,0.3675041198730469
BART-COL-060,ReachabilityCardinality.xml,6,error,0.36733245849609375
BART-COL-060,ReachabilityCardinality.xml,5,error,0.38323473930358887
BART-COL-060,ReachabilityCardinality.xml,7,error,0.36351799964904785
BART-COL-060,ReachabilityCardinality.xml,3,error,0.4306032657623291
BlocksWorld-COL-02,ReachabilityCardinality.xml,7,error,0.06905508041381836
BlocksWorld-COL-02,ReachabilityCardinality.xml,4,error,0.10292553901672363
BlocksWorld-COL-02,ReachabilityCardinality.xml,8,error,0.06995916366577148
BlocksWorld-COL-02,ReachabilityCardinality.xml,9,error,0.0697472095489502
BlocksWorld-COL-02,ReachabilityCardinality.xml,5,error,0.07242345809936523
BlocksWorld-COL-02,ReachabilityCardinality.xml,6,error,0.07192873954772949
BlocksWorld-COL-02,ReachabilityCardinality.xml,3,error,0.10656952857971191
BlocksWorld-COL-03,ReachabilityCardinality.xml,13,error,0.06254887580871582
BlocksWorld-COL-03,ReachabilityCardinality.xml,10,error,0.07063102722167969
BlocksWorld-COL-03,ReachabilityCardinality.xml,11,error,0.07067441940307617
BlocksWorld-COL-03,ReachabilityCardinality.xml,14,error,0.06186199188232422
BlocksWorld-COL-03,ReachabilityCardinality.xml,1,error,0.07205414772033691
BlocksWorld-COL-03,ReachabilityCardinality.xml,12,error,0.07003498077392578
